,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd
90,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,3,1137.686
91,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,3,1649.1998
92,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,3,2047.5026
93,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,3,2301.8872
94,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,3,2077.169
95,"tensor(3.2941, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",1,4,1145.7446
96,"tensor(3.2941, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",1,4,1522.4631
97,"tensor(3.2941, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",1,4,2045.63
98,"tensor(3.2941, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",1,4,2323.6328
99,"tensor(3.2941, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",1,4,2154.8794
100,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,1,1682.906
101,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,1,2000.9554
102,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,1,2050.4072
103,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,1,1995.1299
104,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,1,1953.5692
105,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,2,1549.7198
106,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,2,2015.9946
107,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,2,2123.3037
108,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,2,1998.7825
109,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,2,1962.1343
110,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,3,1521.1025
111,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,3,2050.1257
112,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,3,2113.8613
113,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,3,1973.0391
114,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,3,1974.2239
115,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,4,1518.9375
116,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,4,2042.9432
117,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,4,2139.0671
118,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,4,1953.6174
119,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,4,1977.2441
120,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,1,1645.0032
121,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",2,1,2009.5312
122,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",2,1,2065.319
123,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",2,1,1999.3513
124,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",2,1,2039.0757
125,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",2,2,1447.5216
