,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,mmd_ratio,label
89,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,2,0.0012720207171722508,22.694549238303175,89
90,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,3,0.004588045023197575,1.6194037861483006,90
91,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,3,0.009529885297235141,3.517771060540133,91
92,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,3,0.012501258243001523,8.503299759968444,92
93,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,3,0.006131221934008002,21.905284347474986,93
94,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,3,0.0010873880590533958,26.47093593774444,94
95,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",1,4,0.004232911719562636,1.6263792413179574,95
96,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",1,4,0.010255220130288435,3.0892248423319435,96
97,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",1,4,0.014083502490043115,7.448621083097744,97
98,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",1,4,0.006660355537223717,20.79399084402738,98
99,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",1,4,0.0007453774393393342,38.50934869273974,99
100,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,1,0.002417191611474391,6.094399250804204,100
101,"tensor(0.0590, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,1,0.00949574384721677,5.065381580837465,101
102,"tensor(0.0590, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,1,0.02417802856414289,4.397904132463964,102
103,"tensor(0.0590, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,1,0.017983480087339965,6.062712837310745,103
104,"tensor(0.0590, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,1,0.004285402144343253,6.699999402662959,104
105,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,2,0.002661996284166029,3.2975335464134483,105
106,"tensor(0.0590, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,2,0.008928678938801567,4.190530627632385,106
107,"tensor(0.0590, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,2,0.025258212540640257,4.274091999957727,107
108,"tensor(0.0590, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,2,0.01899105424858405,6.6727896984951975,108
109,"tensor(0.0590, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,2,0.004173064734931287,6.917682478386644,109
110,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,3,0.0026693479477861246,2.7834128884348517,110
111,"tensor(0.0590, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,3,0.008364094854247675,4.008079211566529,111
112,"tensor(0.0590, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,3,0.02513751579711307,4.228816684790575,112
113,"tensor(0.0590, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,3,0.020726175307829553,6.480026240595634,113
114,"tensor(0.0590, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,3,0.004242554149216815,6.784634594701479,114
115,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,4,0.002580418240616958,2.6679084974155907,115
116,"tensor(0.0590, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,4,0.008055639922047414,3.9327329792091468,116
117,"tensor(0.0590, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,4,0.025196832935579755,4.163327741998263,117
118,"tensor(0.0590, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,4,0.02335210363310075,5.930745008457607,118
119,"tensor(0.0590, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,4,0.004046751306578944,7.093097041212984,119
120,"tensor(0.1605, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,1,0.0015051214640875409,9.787469714246885,120
121,"tensor(0.1605, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,1,0.0009394473559638794,51.199852418225205,121
122,"tensor(0.1605, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,1,0.004551423934736648,23.362502210690756,122
123,"tensor(0.1605, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,1,0.0028564253591431,38.16962177430945,123
124,"tensor(0.1605, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,1,5.9643965122813114e-05,481.3930755299212,124
125,"tensor(0.1605, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,2,0.001540427805382492,5.698431316802817,125
